monkey;palette_r;palette_g;palette_b;ID;Sex;Age;Weight;Hab.;Mou.;Tou.
a;0.5;0.4;0.3;a;f;41;-;-;-;3
b;0.5;0.4;0.7;b;m;36;-;-;-;4
c;0.3;0.6;0.4;c;m;24;415;1;2;3
d;0.2;0.4;0.6;d;f;84;375;1;2;2
e;0.5;0.5;0.5;e;f;26;423;2;1;3
f;0.8;0.5;0.3;f;m;84;386;1;2;2
g;0.7;0.3;0.3;g;m;29;476;2;3;2
h;0.7;0.8;0.2;h;m;32;354;2;2;3
i;0.1;0.4;0.4;i;m;26;390;0.5;0.5;1
j;0.8;0.7;0.4;j;m;33;446;3;2;2
k;0.3;0.7;0.8;k;f;31;388;2;2;2
l;0.8;0.5;0.7;l;f;32;471;2;2;3
m;1;0.6;0.9;m;m;45;-;-;-;-
n;0.3;0.6;0.4;n;f;31;366;2;2;3
