animal;session;stimulus;level;total;hits
d;1;voc;0;5;1
d;1;voc;15;6;1
d;1;voc;30;5;4
d;1;voc;45;7;7
d;1;voc;60;19;14
d;1;voc;70;21;21
d;1;voc;80;21;20
d;2;voc;0;12;0
d;2;voc;15;12;2
d;2;voc;30;12;9
d;2;voc;45;13;11
d;2;voc;60;42;32
d;2;voc;70;37;34
d;2;voc;80;36;36
d;3;voc;0;13;3
d;3;voc;15;14;2
d;3;voc;30;17;9
d;3;voc;45;16;12
d;3;voc;60;44;34
d;3;voc;70;44;37
d;3;voc;80;41;38
d;4;voc;0;5;1
d;4;voc;15;4;0
d;4;voc;30;5;4
d;4;voc;45;5;5
d;4;voc;60;19;13
d;4;voc;70;13;12
d;4;voc;80;12;12
d;5;voc;0;12;1
d;5;voc;15;11;0
d;5;voc;30;11;6
d;5;voc;45;12;10
d;5;voc;60;35;29
d;5;voc;70;35;33
d;5;voc;80;34;34
d;6;voc;0;15;1
d;6;voc;15;15;1
d;6;voc;30;14;10
d;6;voc;45;17;16
d;6;voc;60;49;38
d;6;voc;70;47;40
d;6;voc;80;46;46
d;7;voc;0;0;0
d;7;voc;15;0;0
d;7;voc;30;0;0
d;7;voc;45;0;0
d;7;voc;60;0;0
d;7;voc;70;0;0
d;7;voc;80;0;0
d;8;voc;0;0;0
d;8;voc;15;0;0
d;8;voc;30;0;0
d;8;voc;45;0;0
d;8;voc;60;0;0
d;8;voc;70;0;0
d;8;voc;80;0;0
a;1;voc;0;9;1
a;1;voc;15;9;4
a;1;voc;30;11;7
a;1;voc;45;10;8
a;1;voc;60;29;25
a;1;voc;70;27;25
a;1;voc;80;27;26
a;2;voc;0;9;0
a;2;voc;15;11;0
a;2;voc;30;9;4
a;2;voc;45;11;6
a;2;voc;60;32;26
a;2;voc;70;32;31
a;2;voc;80;32;31
a;3;voc;0;7;2
a;3;voc;15;8;1
a;3;voc;30;6;6
a;3;voc;45;6;4
a;3;voc;60;26;24
a;3;voc;70;26;24
a;3;voc;80;25;25
a;4;voc;0;4;0
a;4;voc;15;5;1
a;4;voc;30;4;2
a;4;voc;45;4;3
a;4;voc;60;18;12
a;4;voc;70;15;13
a;4;voc;80;17;16
a;5;voc;0;5;0
a;5;voc;15;5;1
a;5;voc;30;5;4
a;5;voc;45;7;2
a;5;voc;60;23;19
a;5;voc;70;24;22
a;5;voc;80;20;20
a;6;voc;0;5;1
a;6;voc;15;5;0
a;6;voc;30;5;1
a;6;voc;45;8;4
a;6;voc;60;18;17
a;6;voc;70;15;14
a;6;voc;80;15;15
a;7;voc;0;5;0
a;7;voc;15;5;1
a;7;voc;30;4;1
a;7;voc;45;6;5
a;7;voc;60;15;13
a;7;voc;70;14;14
a;7;voc;80;14;14
a;8;voc;0;7;0
a;8;voc;15;7;0
a;8;voc;30;7;2
a;8;voc;45;8;5
a;8;voc;60;20;12
a;8;voc;70;20;17
a;8;voc;80;18;18
b;1;voc;0;7;1
b;1;voc;15;6;1
b;1;voc;30;6;0
b;1;voc;45;11;3
b;1;voc;60;23;17
b;1;voc;70;24;18
b;1;voc;80;20;16
b;2;voc;0;4;0
b;2;voc;15;4;1
b;2;voc;30;6;3
b;2;voc;45;8;2
b;2;voc;60;17;9
b;2;voc;70;19;12
b;2;voc;80;16;13
b;3;voc;0;4;0
b;3;voc;15;4;0
b;3;voc;30;3;1
b;3;voc;45;7;4
b;3;voc;60;17;8
b;3;voc;70;20;12
b;3;voc;80;15;14
b;4;voc;0;3;1
b;4;voc;15;3;0
b;4;voc;30;3;2
b;4;voc;45;3;3
b;4;voc;60;16;10
b;4;voc;70;16;13
b;4;voc;80;17;15
b;5;voc;0;4;1
b;5;voc;15;6;3
b;5;voc;30;6;4
b;5;voc;45;4;2
b;5;voc;60;24;18
b;5;voc;70;22;13
b;5;voc;80;19;17
b;6;voc;0;9;1
b;6;voc;15;8;1
b;6;voc;30;8;4
b;6;voc;45;12;7
b;6;voc;60;29;20
b;6;voc;70;28;23
b;6;voc;80;26;24
b;7;voc;0;6;0
b;7;voc;15;6;2
b;7;voc;30;6;2
b;7;voc;45;6;4
b;7;voc;60;23;13
b;7;voc;70;20;12
b;7;voc;80;22;19
b;8;voc;0;8;2
b;8;voc;15;9;2
b;8;voc;30;9;2
b;8;voc;45;12;3
b;8;voc;60;34;20
b;8;voc;70;30;21
b;8;voc;80;28;26
