monkey,stimulus,count,task,outcome
g,str,319.0,Artificial Discrimination,correct
g,ctr,306.0,Artificial Discrimination,correct
g,ctr,330.0,Artificial Discrimination,wrong
g,str,266.0,Artificial Discrimination,wrong
g,str,6.0,Artificial Discrimination,ignored
g,ctr,15.0,Artificial Discrimination,ignored
h,str,485.0,Artificial Discrimination,correct
h,ctr,463.0,Artificial Discrimination,correct
h,ctr,541.0,Artificial Discrimination,wrong
h,str,469.0,Artificial Discrimination,wrong
h,str,9.0,Artificial Discrimination,ignored
h,ctr,13.0,Artificial Discrimination,ignored
a,str,217.0,Artificial Discrimination,correct
a,ctr,205.0,Artificial Discrimination,correct
a,ctr,251.0,Artificial Discrimination,wrong
a,str,272.0,Artificial Discrimination,wrong
a,str,8.0,Artificial Discrimination,ignored
a,ctr,4.0,Artificial Discrimination,ignored
b,str,195.0,Artificial Discrimination,correct
b,ctr,197.0,Artificial Discrimination,correct
b,ctr,183.0,Artificial Discrimination,wrong
b,str,209.0,Artificial Discrimination,wrong
b,str,1.0,Artificial Discrimination,ignored
b,ctr,5.0,Artificial Discrimination,ignored
e,str,37.0,Artificial Discrimination,correct
e,ctr,33.0,Artificial Discrimination,correct
e,ctr,45.0,Artificial Discrimination,wrong
e,str,46.0,Artificial Discrimination,wrong
e,str,11.0,Artificial Discrimination,ignored
e,ctr,21.0,Artificial Discrimination,ignored
