monkey,p_trials,Trials,HitRate
a,5,2147,0.44859813084112043
a,10,2147,0.4859813084112141
a,15,2147,0.4299065420560742
a,20,2147,0.4953271028037372
a,25,2147,0.4392523364485974
a,30,2147,0.5046728971962628
a,35,2147,0.47663551401869114
a,40,2147,0.5420560747663555
a,45,2147,0.5420560747663555
a,50,2147,0.523364485981309
a,55,2147,0.37383177570093495
a,60,2147,0.5327102803738325
a,65,2147,0.44859813084112043
a,70,2147,0.40186915887850466
a,75,2147,0.4205607476635509
a,80,2147,0.4205607476635509
a,85,2147,0.3831775700934584
a,90,2147,0.4205607476635509
a,95,2147,0.45794392523364474
a,100,2147,0.523364485981309
b,5,1549,0.3896103896103896
b,10,1549,0.4285714285714286
b,15,1549,0.3896103896103896
b,20,1549,0.3896103896103896
b,25,1549,0.5064935064935058
b,30,1549,0.45454545454545375
b,35,1549,0.5064935064935058
b,40,1549,0.45454545454545375
b,45,1549,0.3636363636363638
b,50,1549,0.5324675324675333
b,55,1549,0.46753246753246686
b,60,1549,0.5584415584415582
b,65,1549,0.45454545454545375
b,70,1549,0.6103896103896104
b,75,1549,0.45454545454545375
b,80,1549,0.5064935064935058
b,85,1549,0.5194805194805188
b,90,1549,0.5324675324675333
b,95,1549,0.49350649350649417
b,100,1549,0.40259740259740157
g,5,1262,0.34920634920634863
g,10,1262,0.523809523809525
g,15,1262,0.4920634920634921
g,20,1262,0.44444444444444353
g,25,1262,0.4920634920634921
g,30,1262,0.5079365079365067
g,35,1262,0.47619047619047505
g,40,1262,0.5079365079365067
g,45,1262,0.5079365079365067
g,50,1262,0.47619047619047505
g,55,1262,0.5555555555555567
g,60,1262,0.47619047619047505
g,65,1262,0.4920634920634921
g,70,1262,0.5555555555555567
g,75,1262,0.4920634920634921
g,80,1262,0.5714285714285708
g,85,1262,0.5714285714285708
g,90,1262,0.4920634920634921
g,95,1262,0.5396825396825394
g,100,1262,0.61904761904762
h,5,1958,0.4742268041237102
h,10,1958,0.5257731958762898
h,15,1958,0.5670103092783516
h,20,1958,0.4020618556701031
h,25,1958,0.4329896907216486
h,30,1958,0.5051546391752589
h,35,1958,0.5154639175257719
h,40,1958,0.5360824742268039
h,45,1958,0.443298969072165
h,50,1958,0.45360824742267947
h,55,1958,0.5154639175257719
h,60,1958,0.5360824742268039
h,65,1958,0.4742268041237102
h,70,1958,0.5567010309278346
h,75,1958,0.443298969072165
h,80,1958,0.41237113402061776
h,85,1958,0.46391752577319595
h,90,1958,0.5463917525773208
h,95,1958,0.46391752577319595
h,100,1958,0.46391752577319595
