session,animal,trials,hits,fa,ign,hr,er,oddsRatio,pVal,sDur,maxStep,minStep,voc,vocHit,vocFA,vocIgn,vocHR,vocER,sTr,sTrHit,sTrFA,sTrIgn,sTrHR,sTrER,cTr,cTrHit,cTrFA,cTrIgn,cTrHR,cTrER
1,a,776,523,252,2,67.4,32.5,3.5397163120567376,3.11445881095437e-13,4:25,58,51,198,145,53,0,73.2,26.8,255,161,94,0,63.1,36.9,323,217,105,2,67.2,32.5
2,a,692,449,242,0,64.9,35.0,2.4810568295114654,2.1453135656379347e-07,3:54,60,57,108,86,22,0,79.6,20.4,244,126,118,0,51.6,48.4,340,237,102,0,69.7,30.0
3,a,585,386,196,5,66.0,33.5,3.898050974512744,4.248840681289493e-14,6:26,62,59,48,30,17,2,62.5,35.4,247,156,92,0,63.2,37.2,290,200,87,3,69.0,30.0
4,a,569,350,217,1,61.5,38.1,2.509155832265153,1.9264404734866637e-07,5:16,62,60,20,16,4,0,80.0,20.0,273,145,127,0,53.1,46.5,276,189,86,1,68.5,31.2
5,a,600,370,225,5,61.7,37.5,2.465758468335788,3.0813468249666283e-07,5:32,60,58,61,41,16,4,67.2,26.2,245,148,97,0,60.4,39.6,294,181,112,1,61.6,38.1
6,a,125,74,51,0,59.2,40.8,2.0404858299595143,0.0805870192154583,1:29,60,59,14,8,6,0,57.1,42.9,50,24,26,0,48.0,52.0,61,42,19,0,68.9,31.1
7,a,227,155,70,2,68.3,30.8,6.25,2.319342393268979e-09,2:33,60,58,31,15,14,2,48.4,45.2,84,60,24,0,71.4,28.6,112,80,32,0,71.4,28.6
8,a,543,343,199,1,63.2,36.6,2.936578719187415,8.977316684288417e-09,6:07,61,59,49,35,13,1,71.4,26.5,220,151,69,0,68.6,31.4,274,157,117,0,57.3,42.7
9,a,348,230,117,1,66.1,33.6,4.093968253968254,7.266037973938024e-10,4:04,62,61,4,2,2,0,50.0,50.0,169,124,45,0,73.4,26.6,175,104,70,1,59.4,40.0
10,a,268,172,96,0,64.2,35.8,3.2413339183852568,3.2280534233660374e-06,5:31,62,62,0,0,0,0,,,132,89,43,0,67.4,32.6,136,83,53,0,61.0,39.0
11,a,143,93,50,0,65.0,35.0,3.2597623089983023,0.0010826293606302567,2:38,62,61,5,5,0,0,100.0,0.0,67,48,19,0,71.6,28.4,71,40,31,0,56.3,43.7
12,a,458,291,165,1,63.5,36.0,3.072416838386812,5.417954785134787e-09,5:29,62,61,2,2,0,0,100.0,0.0,227,147,79,0,64.8,34.8,229,142,86,1,62.0,37.6
13,a,226,161,65,0,71.2,28.8,6.720779220779221,8.602830265389946e-11,1:55,62,61,2,2,0,0,100.0,0.0,111,90,21,0,81.1,18.9,113,69,44,0,61.1,38.9
14,a,234,164,70,0,70.1,29.9,6.086956521739131,4.1623042953349554e-10,2:19,62,62,0,0,0,0,,,117,94,23,0,80.3,19.7,117,70,47,0,59.8,40.2
15,a,509,334,175,0,65.6,34.4,3.642763845350052,1.7483405102198008e-12,5:12,62,62,0,0,0,0,,,255,167,88,0,65.5,34.5,254,167,87,0,65.7,34.3
16,a,521,333,187,1,63.9,35.9,3.1481481481481484,3.092963844167674e-10,2:54,62,61,5,3,1,1,60.0,20.0,260,170,90,0,65.4,34.6,256,160,96,0,62.5,37.5
17,a,426,267,152,7,62.7,35.7,3.0166453265044813,6.903195236950276e-08,5:45,62,59,14,10,4,0,71.4,28.6,199,124,71,4,62.3,35.7,213,133,77,3,62.4,36.2
