animal;outcome;ITI mean;ITI std;likelihood
d;reward;5700.326184303559;4384.595762938188;0.436624104640299
d;wrong;6474.764083830033;4748.265405337529;0.534516765285996
i;reward;7041.5287474332645;6594.453258981142;0.5415717539863326
i;wrong;7798.8351648351645;7522.40005939622;0.35193621867881547
k;reward;7702.8523395909215;6614.602243819459;0.6259418729817008
k;wrong;7748.643529411765;6070.682984925186;0.29834947972730536
j;reward;7459.017898832685;6103.638574479117;0.5508825452168228
j;wrong;8142.140804597701;5879.97279298915;0.3719764654608847
f;reward;5123.120659722223;3533.565276144114;0.4972867375732581
f;wrong;5210.681105990783;4020.4856162837773;0.4666811373996093
c;reward;4604.566635601118;3040.6098763296072;0.4954787850683979
c;wrong;4626.390909090909;3010.7213787564815;0.48249478321354045
