power,freq
-34.71608,0.0
-27.285358,375.0
-33.804615,750.0
-39.507423,1125.0
-43.61929,1500.0
-45.19369,1875.0
-44.928852,2250.0
-46.27561,2625.0
-48.138252,3000.0
-48.298836,3375.0
-46.681183,3750.0
-48.427273,4125.0
-51.53576,4500.0
-51.86842,4875.0
-52.096718,5250.0
-52.384243,5625.0
-49.74623,6000.0
-44.638676,6375.0
-44.05208,6750.0
-47.17268,7125.0
-50.214596,7500.0
-51.03422,7875.0
-53.86148,8250.0
-56.0259,8625.0
-56.04426,9000.0
-56.027634,9375.0
-56.22621,9750.0
-57.171406,10125.0
-56.985622,10500.0
-56.246277,10875.0
-55.481457,11250.0
-54.939934,11625.0
-56.3324,12000.0
-57.812508,12375.0
-58.674427,12750.0
-60.498024,13125.0
-62.238865,13500.0
-63.953762,13875.0
-65.3259,14250.0
-66.78128,14625.0
-67.32349,15000.0
-66.94491,15375.0
-66.39989,15750.0
-66.40757,16125.0
-66.26123,16500.0
-66.23073,16875.0
-66.49078,17250.0
-66.966644,17625.0
-67.9021,18000.0
-69.125015,18375.0
-69.705605,18750.0
-70.08654,19125.0
-70.37364,19500.0
-70.631165,19875.0
-70.44122,20250.0
-70.344604,20625.0
-70.27246,21000.0
-70.07804,21375.0
-70.10934,21750.0
-70.113014,22125.0
-70.03679,22500.0
-69.93611,22875.0
-69.64186,23250.0
-69.3885,23625.0
-69.161835,24000.0
-69.009026,24375.0
-68.85747,24750.0
-68.72849,25125.0
-68.60422,25500.0
-68.46367,25875.0
-68.33047,26250.0
-68.15697,26625.0
-67.91877,27000.0
-67.80638,27375.0
-67.63677,27750.0
-67.47594,28125.0
-67.337395,28500.0
-67.21058,28875.0
-67.06384,29250.0
-66.84821,29625.0
-66.531685,30000.0
-66.49776,30375.0
-66.389114,30750.0
-66.21354,31125.0
-66.02069,31500.0
-65.82322,31875.0
-65.67639,32250.0
-65.488655,32625.0
-65.16559,33000.0
-65.24062,33375.0
-65.157265,33750.0
-65.01033,34125.0
-64.86809,34500.0
-64.714195,34875.0
-64.581764,35250.0
-64.33414,35625.0
-63.915688,36000.0
-64.04304,36375.0
-64.0027,36750.0
-63.88034,37125.0
-63.77964,37500.0
-63.636658,37875.0
-63.497715,38250.0
-63.310593,38625.0
-62.99372,39000.0
-63.104454,39375.0
-63.072285,39750.0
-62.961754,40125.0
-62.890144,40500.0
-62.80809,40875.0
-62.72951,41250.0
-62.608818,41625.0
-62.33956,42000.0
-62.45844,42375.0
-62.44416,42750.0
-62.36683,43125.0
-62.298676,43500.0
-62.20008,43875.0
-62.125134,44250.0
-62.01281,44625.0
-61.822247,45000.0
-61.906487,45375.0
-62.069595,45750.0
-62.258484,46125.0
-62.385826,46500.0
-62.428913,46875.0
-62.423615,47250.0
-62.357807,47625.0
-65.26426,48000.0
